system,revision,criterion,verdict,tier,evidence_ref,quote,rater,date,note
microsoft/agent-governance-toolkit,179843b16ead,C1_pre_tool_interception,not demonstrated,T3,tests/e2e_python/scenarios/policy_deny/test_policy_deny.py,"assert result.executed_tools == []; assert platform.budget_changes == []",R1,2026-07-27,"Behaviour is tested tool-side and passes. CDE-12 asks about the RECORD: no tool-side observation was found in the Decision BOM. Behaviour and record diverge here and the instrument scores the record."
microsoft/agent-governance-toolkit,179843b16ead,C2_deterministic_verdict,partial,T1,policy-engine/tests/conformance/,"sdk_support: rust required, python required, node required",R1,2026-07-27,"Cross-SDK parity corpus is strong evidence of deterministic evaluation. Gap: not established that the emitted record carries inputs+policy identity sufficient for a reader to re-derive."
microsoft/agent-governance-toolkit,179843b16ead,C3_fail_closed,supported,T1,policy-engine/tests/conformance/fail_closed_error_parity.json,"runtime_error:policy_invocation_failed; runtime_error:annotation_timeout; runtime_error:resource_limit_exceeded",R1,2026-07-27,"Twelve reserved runtime-error reasons distinguish policy denial from machinery failure, and four SDKs must agree on which fires. This is the criterion met most convincingly by any system read."
microsoft/agent-governance-toolkit,179843b16ead,C4_response_release_governance,not tested,,,,R1,2026-07-27,"Not addressed in the sources read."
microsoft/agent-governance-toolkit,179843b16ead,C5_governed_persistent_state,partial,T1,docs/specs/AUDIT-COMPLIANCE-1.0.md §11.5,"trust_score_at_decision; delegation_chain",R1,2026-07-27,"Prior-state fields are present in the Decision BOM. Gap: no explicit reference to a prior decision id or state version."
microsoft/agent-governance-toolkit,179843b16ead,C6_policy_version_binding,partial,T1,docs/specs/AUDIT-COMPLIANCE-1.0.md §11.5,"policy_rules_evaluated",R1,2026-07-27,"Rules evaluated are required. A policy version or digest was not found in the sources read; per CDE-12 C6 a rule name alone is partial."
microsoft/agent-governance-toolkit,179843b16ead,C7_offline_verifiable_receipt,not tested,,,,R1,2026-07-27,"Merkle audit appears in the spec index but the section was not read, so signature and offline-verification semantics are unestablished. Depth below what C7 requires; tier left blank per the rule that not-tested is a claim about the rater."
microsoft/agent-governance-toolkit,179843b16ead,C8_delivery_acknowledgement,not demonstrated,T1,docs/specs/AUDIT-COMPLIANCE-1.0.md,"(absent)",R1,2026-07-27,"In 2295 lines of the normative audit specification, delivery appears only for log-backend and subscriber-callback delivery; acknowledgement does not appear."
microsoft/agent-governance-toolkit,179843b16ead,C9_enforcement_outcome,not demonstrated,T1,docs/specs/AUDIT-COMPLIANCE-1.0.md §11.7,"outcome: Decision outcome (allow/deny/escalate/warn)",R1,2026-07-27,"The outcome field carries the governance verdict. No applied/refused/no-effect distinction found."
microsoft/agent-governance-toolkit,179843b16ead,C10_observed_system_effect,out of scope,T0,docs/LIMITATIONS.md,"It does not verify whether the action actually succeeded in the external world",R1,2026-07-27,"Project places this outside its purpose in its own documentation. Quote required by CDE-12 §4 rule 2 and supplied."
microsoft/agent-governance-toolkit,179843b16ead,C11_authority_separation,partial,T0,README.md,"The policy engine and agents share the same process boundary",R1,2026-07-27,"The project states the boundary honestly in prose. Not established that any emitted record carries the property; T0 caps this at partial per §4 rule 3."
microsoft/agent-governance-toolkit,179843b16ead,C12_negative_record,not demonstrated,T1,docs/specs/AUDIT-COMPLIANCE-1.0.md,"(absent)",R1,2026-07-27,"No record type whose purpose is to state a specific expected instruction's non-arrival."
openai/openai-agents-python,f663a06aea23,C1_pre_tool_interception,partial,T2,src/agents/run_internal/tool_execution.py,"rejected_message = await _execute_tool_input_guardrails(...); if rejected_message is not None: return rejected_message",R1,2026-07-27,"Source establishes the tool is never invoked on rejection. Gap per CDE-12 C1: the guardrail result is recorded, but no tool-side observation of non-invocation is carried in the record."
openai/openai-agents-python,f663a06aea23,C2_deterministic_verdict,not demonstrated,T2,src/agents/guardrail.py,"",R1,2026-07-27,"Guardrails may call a model to reach the decision; the trace does not pin model or parameters."
openai/openai-agents-python,f663a06aea23,C3_fail_closed,not tested,,,,R1,2026-07-27,"Behaviour when the guardrail itself is unavailable was not found in the sources read."
openai/openai-agents-python,f663a06aea23,C4_response_release_governance,partial,T3,tests/test_stream_input_guardrail_timing.py,"run_in_parallel: bool = True (default); event sequences identical whether guardrails finish before or after streaming begins",R1,2026-07-27,"The hard boundary exists via run_in_parallel=False. Gap per C4: the trace does not record which mode was in force for a given decision."
openai/openai-agents-python,f663a06aea23,C5_governed_persistent_state,partial,T1,docs/tracing,"group_id",R1,2026-07-27,"group_id links traces across a conversation. Per C5 a shared session identifier alone is partial."
openai/openai-agents-python,f663a06aea23,C6_policy_version_binding,not demonstrated,T1,docs/tracing,"(absent)",R1,2026-07-27,"No policy version identifier found in the trace fields documented."
openai/openai-agents-python,f663a06aea23,C7_offline_verifiable_receipt,not demonstrated,T1,docs/tracing,"(no signing or tamper-evidence described)",R1,2026-07-27,"Downgraded from out-of-scope by the validator: CDE-12 §4 rule 2 requires a quotable exclusion and the docs do not state one. Tracing is framed as observability, which is adjacent to but not the same as a documented scope exclusion."
openai/openai-agents-python,f663a06aea23,C8_delivery_acknowledgement,not demonstrated,T1,docs/tracing,"(absent)",R1,2026-07-27,"Not addressed in the sources read."
openai/openai-agents-python,f663a06aea23,C9_enforcement_outcome,not tested,,,,R1,2026-07-27,"Guardrail spans are recorded; whether applied/refused/no-effect are distinguished was not established."
openai/openai-agents-python,f663a06aea23,C10_observed_system_effect,not demonstrated,T1,docs/tracing,"(absent)",R1,2026-07-27,"Not addressed."
openai/openai-agents-python,f663a06aea23,C11_authority_separation,not demonstrated,T2,src/agents/guardrail.py,"",R1,2026-07-27,"Guardrails run in the same process as the agent; no record field carries the property."
openai/openai-agents-python,f663a06aea23,C12_negative_record,not demonstrated,T1,docs/tracing,"(absent)",R1,2026-07-27,"No negative record type found."
in-toto/attestation,spec/README,C8_delivery_acknowledgement,not demonstrated,T1,spec/README.md,"authenticated metadata about one or more software artifacts",R1,2026-07-27,"Attests a step performed by an authorized party. No delivery or acknowledgement construct."
in-toto/attestation,spec/README,C12_negative_record,not demonstrated,T1,spec/README.md,"attests presence of completed work, not absence or failures",R1,2026-07-27,"The specification states the limit in its own words."
rfc6962-certificate-transparency,RFC 6962,C8_delivery_acknowledgement,not demonstrated,T1,RFC 6962 §2.1.1,"the audit path is proof that the leaf exists in the tree",R1,2026-07-27,"Inclusion proves presence in a log. No consumer receipt; logs have no feedback mechanism tracking consumer actions."
rfc6962-certificate-transparency,RFC 6962,C12_negative_record,not demonstrated,T1,RFC 6962 §7.2,"",R1,2026-07-27,"Proves presence; no mechanism for proving absence or non-receipt."
ietf-scitt,draft-ietf-scitt-architecture,C8_delivery_acknowledgement,out of scope,T1,draft-ietf-scitt-architecture,"How these statements are managed or stored as well as how participating entities discover and notify each other of changes is out of scope",R1,2026-07-27,"Explicit scope exclusion in normative text. The clearest out-of-scope in the population."
ietf-scitt,draft-ietf-scitt-architecture,C12_negative_record,not demonstrated,T1,draft-ietf-scitt-architecture,"",R1,2026-07-27,"Positive attestations about artifacts only; no absence statements."
slsa,v1.1,C8_delivery_acknowledgement,partial,T1,slsa.dev/spec/v1.1/verifying-artifacts,"A Verification Summary Attestation (VSA) can make dependency verification more efficient by recording the result of prior verifications",R1,2026-07-27,"VSA is the nearest construct in the family to an acknowledgement: a record that a receiving party verified something. Gap: no normative requirement that producers or third parties receive it."
slsa,v1.1,C12_negative_record,not demonstrated,T1,slsa.dev/spec/v1.1/verifying-artifacts,"",R1,2026-07-27,"No provisions for expected-but-absent artifacts or verification that should have occurred but did not."
tuf,latest specification,C8_delivery_acknowledgement,not demonstrated,T1,TUF specification,"",R1,2026-07-27,"Pull-based; no acknowledgement path from client to repository, and the repository does not learn whether a client applied an update."
tuf,latest specification,C12_negative_record,partial,T1,TUF specification,"If the new timestamp metadata file has expired, discard it, abort the update cycle, and report the potential freeze attack",R1,2026-07-27,"Staleness is detectable and reportable — genuine non-delivery detection. Gap per C12: a client cannot affirmatively determine it missed a specific published item."
